route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
562,0000000592025061320250909,0004254432025061320250909,Via 13 Settembre,0,D254_R5073_sub1,1
562,0000000592025061320250909,0004254442025061320250909,Piazzale Orsi Stazione Fs,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254452025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254462025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254472025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254482025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254492025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254502025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254512025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254522025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254532025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254542025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254552025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254562025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
562,0000000592025061320250909,0004254572025061320250909,Via 13 Settembre,0,D255_R5074_sub2,1
563,0000000592025061320250909,0004254612025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254622025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254632025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254642025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254652025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254662025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254672025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254682025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254692025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254702025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254712025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254722025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254732025061320250909,Ossario Castel Dante,0,D259_R5083c_sub2,1
563,0000000592025061320250909,0004254742025061320250909,Piazzale S.Giorgio Est,0,D260_R5084a_sub1,1
578,0000000622025061320250909,0004254772025061320250909,Marco,0,D223_F5135f_Andata_sub1,1
578,0000000622025061320250909,0004254782025061320250909,Marco,0,D243_N5147_Andata_sub2,1
582,0000000622025061320250909,0004254792025061320250909,Mori Via Don Sturzo,0,D226_F5255_Andata_sub1,1
582,0000000622025061320250909,0004254802025061320250909,Mori Via Don Sturzo,0,D226_F5255_Andata_sub1,1
582,0000000622025061320250909,0004254812025061320250909,Mori Via Don Sturzo,0,D228_F5257_Andata_sub1,1
582,0000000622025061320250909,0004254822025061320250909,Mori Via Don Sturzo,0,D226_F5255_Andata_sub1,1
582,0000000622025061320250909,0004254832025061320250909,Stazione Fs,0,D223_F5135f_Andata_sub1,1
582,0000000622025061320250909,0004254842025061320250909,Nomi Piazza Springa,1,D229_F5258_Ritorno_sub2,1
582,0000000622025061320250909,0004254852025061320250909,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622025061320250909,0004254862025061320250909,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622025061320250909,0004254872025061320250909,Nomi Piazza Springa,1,D229_F5258_Ritorno_sub2,1
582,0000000622025061320250909,0004254882025061320250909,Nomi Piazza Springa,1,D227_F5256_Ritorno_sub2,1
582,0000000622025061320250909,0004254892025061320250909,Nomi Piazza Springa,1,D235_F5266_Ritorno_sub1,1
582,0000000622025061320250909,0004254922025061320250909,Mori Via Don Sturzo,0,D224_F5253_Andata_sub2,1
582,0000000622025061320250909,0004254932025061320250909,Mori Via Don Sturzo,0,D224_F5253_Andata_sub2,1
582,0000000622025061320250909,0004254942025061320250909,Stazione Fs,0,D230_F5259_Andata_sub2,1
582,0000000622025061320250909,0004254952025061320250909,Pomarolo Via Degasperi,1,D231_F5260_Ritorno_sub1,1
582,0000000622025061320250909,0004254962025061320250909,Pomarolo Via Degasperi,1,D233_F5262_Ritorno_sub2,1
582,0000000622025061320250909,0004254972025061320250909,Nomi Piazza Springa,1,D235_F5266_Ritorno_sub1,1
580,0000000622025061320250909,0004255002025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255012025061320250909,Corso Rosmini Posta,0,D469_R5628b_Ritorno_sub1,1
580,0000000622025061320250909,0004255022025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255032025061320250909,Corso Rosmini Posta,0,D469_R5628b_Ritorno_sub1,1
580,0000000622025061320250909,0004255042025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255052025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255062025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255072025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255082025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255092025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255102025061320250909,Isera P.Zza S.Vincenzo-O.,0,D239_F5675a_Andata_sub1,1
580,0000000622025061320250909,0004255112025061320250909,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622025061320250909,0004255122025061320250909,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622025061320250909,0004255132025061320250909,Costa Capolinea,1,D252_N5672a_Ritorno_sub2,1
580,0000000622025061320250909,0004255142025061320250909,Corso Rosmini Monumento,1,D237_F5638_Ritorno_sub2,1
580,0000000622025061320250909,0004255152025061320250909,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622025061320250909,0004255162025061320250909,Corso Rosmini Monumento,1,D237_F5638_Ritorno_sub2,1
580,0000000622025061320250909,0004255172025061320250909,Costa Capolinea,1,D236_F5636a_Ritorno_sub1,1
580,0000000622025061320250909,0004255182025061320250909,Corso Rosmini Monumento,1,D237_F5638_Ritorno_sub2,1
